    etanol         nox
     0.54          0.53
     0.56          0.37
     0.57          0.37
     0.58          0.68
     0.60          1.19
     0.60          0.92
     0.61          0.56
     0.63          0.56
     0.64          0.57
     0.66          1.90
     0.68          1.78
     0.68          1.59
     0.69          1.59
     0.69          1.37
     0.69          1.53
     0.70          0.93
     0.70          1.14
     0.72          1.42
     0.73          1.40
     0.73          2.22
     0.75          1.62
     0.76          2.30
     0.76          1.63
     0.77          1.73
     0.77          1.87
     0.80          2.06
     0.80          3.36
     0.80          3.68
     0.81          3.15
     0.81          2.20
     0.81          2.47
     0.81          3.76
     0.81          3.52
     0.82          3.39
     0.85          3.93
     0.87          3.42
     0.87          3.52
     0.88          3.21
     0.89          3.66
     0.89          3.57
     0.90          3.49
     0.91          3.74
     0.91          3.54
     0.93          3.67
     0.93          4.03
     0.97          3.95
     0.98          3.62
     0.99          3.73
     1.00          3.12
     1.00          2.96
     1.00          3.29
     1.01          2.84
     1.01          2.85
     1.02          2.88
     1.03          2.58
     1.04          2.74
     1.04          2.09
     1.04          2.36
     1.05          2.16
     1.05          2.57
     1.07          1.95
     1.07          1.84
     1.07          1.81
     1.07          1.96
     1.08          1.72
     1.11          1.50
     1.12          1.39
     1.12          1.17
     1.13          1.20
     1.14          0.98
     1.14          1.01
     1.14          1.02
     1.15          1.00
     1.15          0.87
     1.17          0.76
     1.18          0.81
     1.18          0.80
     1.18          0.97
     1.19          0.76
     1.20          0.73
     1.20          0.59
     1.22          0.61
     1.22          0.96
     1.23          0.75
     1.23          0.41
     1.23          0.67
     1.23          0.64
     1.23          0.54
